,Link,Team,g,Conference,total_wins,win_percentage,srs,sos,opp_pass_cmp,opp_pass_att,opp_pass_cmp_pct,opp_pass_yds,opp_pass_td,opp_tot_yds,opp_tot_yds_per_play,opp_first_down,opp_penalty,opp_turnovers,ppg,oppg,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,rush_att,rush_yds,rush_yds_per_att,rush_td,tot_plays,tot_yds,tot_yds_per_play,first_down,penalty,turnovers
G27T12014,https://www.sports-reference.com/cfb/schools/texas-christian/2014.html,Texas Christian,12,Big 12,11,0.9166666666666666,18.96,1.57,16.6,34.2,48.5,233.0,1.3,341.8,4.7,16.8,5.5,3.1,46.875,20.333333333333332,24.833333333333332,41.00833333333333,0.6055679739890266,332.88333333333327,2.6999999999999997,39.38333333333333,209.28333333333333,5.314007617435464,-12.041666666666666,79.86666666666666,542.1666666666666,6.788397328881469,25.625,6.408333333333332,1.508333333333333
G27T22014,https://www.sports-reference.com/cfb/schools/mississippi/2014.html,Mississippi,12,SEC (West Division),9,0.75,16.8,8.11,18.5,30.9,59.7,192.1,0.9,329.0,4.7,18.4,6.0,2.5,30.408333333333335,13.833333333333334,20.533333333333335,33.391666666666666,0.6149238832043924,275.56666666666666,1.9500000000000002,37.4,167.70833333333334,4.484180035650624,0.9833333333333334,69.95833333333333,443.27500000000003,6.336271590232282,21.266666666666666,5.241666666666666,1.7249999999999999
G28T12014,https://www.sports-reference.com/cfb/schools/michigan-state/2014.html,Michigan State,12,Big Ten (East Division),10,0.8333333333333334,16.07,1.68,18.0,34.2,52.7,227.3,1.3,315.8,5.1,15.3,5.6,2.6,43.083333333333336,19.875,17.716666666666665,29.86666666666667,0.5931919642857142,261.56666666666666,2.0,46.00833333333333,234.96666666666667,5.1070458250316975,-16.150000000000002,75.54166666666667,496.53333333333336,6.572972972972973,24.341666666666665,6.133333333333334,1.1333333333333333
G28T22014,https://www.sports-reference.com/cfb/schools/baylor/2014.html,Baylor,12,Big 12,11,0.9166666666666666,14.97,0.59,19.2,35.1,54.6,264.2,1.8,381.8,5.3,19.7,6.8,2.0,48.800000000000004,24.125,23.783333333333335,38.89166666666666,0.6115277480179989,346.14166666666665,2.808333333333333,47.23333333333334,235.125,4.977946365561044,5.241666666666666,88.625,581.375,6.559943582510578,30.525000000000002,9.700000000000001,1.0
G29T12014,https://www.sports-reference.com/cfb/schools/missouri/2014.html,Missouri,13,SEC (East Division),10,0.7692307692307693,12.02,4.73,20.6,33.9,60.8,212.7,1.3,346.4,4.8,19.6,5.9,1.8,27.4,21.415384615384617,16.092307692307692,30.415384615384617,0.5290844714213454,196.1846153846154,1.7846153846153845,40.0,165.66153846153844,4.141538461538461,-24.63076923076923,68.41538461538461,361.84615384615387,5.28895884866202,19.292307692307695,7.707692307692308,1.0307692307692309
G29T22014,https://www.sports-reference.com/cfb/schools/minnesota/2014.html,Minnesota,12,Big Ten (West Division),8,0.6666666666666666,6.74,3.04,17.9,31.2,57.4,193.5,1.5,368.2,5.4,19.5,4.5,2.3,29.349999999999998,23.466666666666665,8.783333333333333,18.375,0.4780045351473923,131.36666666666667,0.8916666666666667,47.19166666666667,224.625,4.759844605332862,-6.125,65.56666666666666,355.99166666666673,5.429461108286732,18.241666666666667,5.241666666666666,1.375
G30T12014,https://www.sports-reference.com/cfb/schools/ohio-state/2014.html,Ohio State,14,Big Ten (East Division),13,0.9285714285714286,20.43,5.17,18.4,33.0,55.8,201.1,1.1,342.4,5.0,18.9,5.3,2.2,45.0,22.142857142857142,17.392857142857142,27.607142857142858,0.630012936610608,247.46428571428572,2.9285714285714284,47.642857142857146,262.25,5.504497751124437,-18.25,72.53571428571429,509.7142857142857,7.027080256031511,25.535714285714285,5.642857142857143,1.5357142857142858
G30T22014,https://www.sports-reference.com/cfb/schools/alabama/2014.html,Alabama,13,SEC (West Division),12,0.9230769230769231,20.34,7.26,19.1,35.2,54.4,226.0,1.4,328.4,4.9,16.7,4.4,1.4,37.04615384615385,16.584615384615383,20.6,31.90769230769231,0.6456123432979749,281.0461538461538,2.323076923076923,40.84615384615385,209.41538461538462,5.1269303201506595,-10.384615384615385,72.90769230769232,490.46153846153845,6.727157628191601,24.553846153846152,4.96923076923077,1.4923076923076926
G31T12014,https://www.sports-reference.com/cfb/schools/oregon/2014.html,Oregon,14,Pac-12 (North Division),13,0.9285714285714286,22.22,6.02,23.4,38.7,60.4,264.3,1.4,429.7,5.5,23.3,6.1,2.3,47.214285714285715,22.285714285714285,21.535714285714285,31.142857142857142,0.6915137614678899,311.0357142857143,2.9642857142857144,43.25,241.82142857142858,5.591246903385632,-6.428571428571429,74.75,552.8571428571429,7.396082178690874,27.607142857142858,8.071428571428571,0.6785714285714286
G31T22014,https://www.sports-reference.com/cfb/schools/florida-state/2014.html,Florida State,13,ACC (Atlantic Division),13,1.0,14.48,5.13,17.7,31.1,57.0,226.8,1.6,396.9,5.5,21.1,5.5,1.9,34.75384615384616,23.030769230769234,23.184615384615388,36.04615384615385,0.6431924882629109,299.86153846153843,1.9692307692307691,30.984615384615388,134.87692307692308,4.353028798411121,-11.8,67.72307692307692,434.7384615384615,6.419354838709677,22.615384615384617,6.2153846153846155,2.092307692307692
G32T12014,https://www.sports-reference.com/cfb/schools/wisconsin/2014.html,Wisconsin,13,Big Ten (West Division),10,0.7692307692307693,12.7,1.91,12.1,24.8,49.0,168.0,1.1,294.1,4.9,14.7,5.9,1.2,34.64615384615385,20.015384615384615,12.492307692307692,22.692307692307693,0.5505084745762712,150.83076923076922,1.1076923076923078,47.78461538461538,313.9538461538462,6.570186735350935,-27.215384615384615,68.39999999999999,464.89230769230767,6.796671165092218,21.307692307692307,4.723076923076922,1.8153846153846152
G32T22014,https://www.sports-reference.com/cfb/schools/auburn/2014.html,Auburn,12,SEC (West Division),8,0.6666666666666666,14.99,9.06,18.7,32.4,57.7,230.1,1.7,398.8,5.7,22.1,4.3,2.1,35.875,26.091666666666665,16.0,25.708333333333332,0.6223662884927067,230.625,1.7833333333333334,48.675000000000004,258.5416666666667,5.311590481082006,-15.541666666666666,72.71666666666667,489.1666666666667,6.727022690809076,24.466666666666665,6.941666666666666,1.625
G33T12014,https://www.sports-reference.com/cfb/schools/houston/2014.html,Houston,12,American,7,0.5833333333333334,0.85,-6.22,17.7,31.7,55.8,200.1,1.2,343.4,4.9,19.1,8.0,2.3,29.36666666666667,19.483333333333334,21.391666666666666,35.4,0.6042843691148776,226.54999999999998,1.2666666666666666,39.19166666666667,181.55833333333337,4.632574952158198,-15.283333333333333,73.34166666666667,408.21666666666664,5.565958413816611,21.916666666666668,6.291666666666667,1.8416666666666666
G33T22014,https://www.sports-reference.com/cfb/schools/pittsburgh/2014.html,Pittsburgh,12,ACC (Coastal Division),6,0.5,2.74,0.97,15.3,28.6,53.5,198.9,1.3,359.8,5.6,18.9,6.0,1.1,31.61666666666667,25.575000000000003,14.208333333333334,22.674999999999997,0.6266078647556047,182.89166666666668,1.3250000000000002,47.699999999999996,251.26666666666668,5.267645003494061,-15.991666666666667,69.95833333333333,434.15833333333336,6.205955926146516,23.341666666666665,6.516666666666667,1.625
G34T12014,https://www.sports-reference.com/cfb/schools/oklahoma-state/2014.html,Oklahoma State,12,Big 12,6,0.5,1.1,3.49,21.2,34.8,60.7,269.2,1.8,432.0,5.8,22.0,6.8,1.1,27.400000000000002,31.966666666666665,17.025000000000002,31.11666666666667,0.5471344402785216,235.63333333333333,1.4583333333333333,39.891666666666666,135.31666666666666,3.39210361395446,-11.15,69.28333333333333,370.95000000000005,5.354101515515998,18.641666666666666,6.0249999999999995,1.6749999999999998
G34T22014,https://www.sports-reference.com/cfb/schools/washington/2014.html,Washington,13,Pac-12 (North Division),8,0.6153846153846154,6.52,1.59,24.5,38.5,63.6,286.6,1.9,410.6,5.4,22.6,6.1,2.1,30.83076923076923,24.4,17.676923076923075,27.723076923076924,0.6376248612652607,194.87692307692308,1.4307692307692306,43.66153846153846,195.33846153846156,4.473925299506695,-6.046153846153846,72.43076923076924,390.10769230769233,5.385938827527612,19.846153846153847,7.0,1.1384615384615384
G35T12014,https://www.sports-reference.com/cfb/schools/tennessee/2014.html,Tennessee,12,SEC (East Division),6,0.5,8.13,5.52,15.5,29.0,53.3,196.2,1.2,364.6,5.3,18.8,6.0,1.8,27.558333333333334,23.88333333333333,21.983333333333334,35.86666666666667,0.6129182156133829,228.04999999999998,1.7833333333333334,41.824999999999996,135.01666666666668,3.2281330942418816,-21.958333333333332,75.38333333333334,362.9583333333333,4.814835286314392,20.825000000000003,4.216666666666667,1.758333333333333
