,total_wins,win_percentage,srs,sos,opp_pass_cmp,opp_pass_att,opp_pass_cmp_pct,opp_pass_yds,opp_pass_td,opp_tot_yds,opp_tot_yds_per_play,opp_first_down,opp_penalty,opp_turnovers,ppg,oppg,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_td,rush_att,rush_yds,rush_yds_per_att,rush_td,tot_plays,tot_yds,tot_yds_per_play,first_down,penalty,turnovers
G12017,3,0.1858974358974359,4.01,-2.37,0.3000000000000007,-2.1999999999999957,4.5,-28.19999999999999,-0.7,-36.599999999999966,-0.2999999999999998,-2.8000000000000007,-0.8999999999999995,0.0,-4.589743589743577,-5.742307692307698,5.143589743589745,8.369871794871798,-0.007784440577981888,68.10705128205126,0.5423076923076919,-11.817307692307686,-121.75384615384613,-1.5342526070782476,-6.118589743589744,-4.529487179487177,-53.646794871794896,-0.3717838099577655,-1.9891025641025628,-3.1955128205128194,-0.9865384615384617
G22017,0,0.045454545454545414,0.33000000000000007,0.35999999999999943,3.8000000000000007,3.9999999999999964,4.600000000000001,44.599999999999994,1.0999999999999999,10.600000000000023,0.2999999999999998,-0.6999999999999993,0.10000000000000053,0.19999999999999996,-6.517424242424237,-1.27424242424242,-7.28409090909091,-9.784848484848482,-0.02343366621103027,-63.448484848484895,-0.781060606060606,7.779545454545456,49.47575757575757,0.8616498596129838,-13.375757575757575,-4.843181818181833,-13.972727272727298,0.16423553188282458,-3.2666666666666657,-0.032575757575758146,0.17272727272727262
G32017,0,0.0,-0.2599999999999999,-1.4900000000000002,0.3000000000000007,1.0,-1.1000000000000014,-24.400000000000006,-0.20000000000000018,-91.80000000000001,-1.2999999999999998,-2.1999999999999993,-0.09999999999999964,-0.19999999999999996,-7.508333333333336,-8.30833333333333,-0.7416666666666636,0.36666666666666714,-0.028432287987240734,-52.58333333333337,-0.3250000000000004,-3.75,-79.19166666666663,-1.6767781477276023,-15.058333333333335,-5.324999999999989,-131.66666666666674,-1.3842370462088782,-4.858333333333327,-0.3416666666666677,0.4833333333333334
G42017,1,0.13636363636363635,4.0600000000000005,-3.0599999999999996,-3.6999999999999993,-0.3999999999999986,-10.399999999999999,18.200000000000017,0.10000000000000009,16.399999999999977,0.2999999999999998,-0.3000000000000007,1.2000000000000002,1.2,13.80075757575758,0.7053030303030354,3.96590909090909,4.683333333333337,0.028009352228465678,88.07196969696972,1.4348484848484853,4.1106060606060595,11.778030303030278,-0.1784439711216912,0.7727272727272734,10.021212121212102,99.84924242424222,0.5343759154510819,4.959090909090911,1.66439393939394,0.31818181818181834
G52017,1,0.14102564102564108,7.18,-3.9299999999999997,3.599999999999998,3.5,4.799999999999997,2.4000000000000057,-0.19999999999999996,-92.89999999999998,-1.2000000000000002,-1.6000000000000014,0.5999999999999996,0.8999999999999999,-5.964743589743591,-16.304487179487186,-0.5173076923076927,-0.03333333333333144,-0.013867456508566134,-24.396153846153823,-0.954487179487179,-3.9352564102564003,-27.07948717948716,-0.2344955036599723,-11.110897435897435,-6.891025641025649,-51.36730769230775,-0.11180680403563414,-4.312179487179478,2.1782051282051285,-0.20320512820512815
G62017,3,0.23076923076923084,12.83,-2.8200000000000003,-0.6999999999999993,2.3999999999999986,-6.100000000000001,-6.700000000000017,-0.3999999999999999,-53.69999999999999,-0.7999999999999998,-1.5,-1.4000000000000004,0.0,16.307692307692307,-2.0923076923077026,-1.3384615384615408,-6.953846153846147,0.09522874908033796,-12.153846153846246,-0.36923076923076925,15.446153846153841,174.50769230769237,2.5385250087675515,-15.784615384615384,7.107692307692318,162.24615384615396,1.7467976351721095,5.046153846153846,-0.5846153846153843,-0.32307692307692315
G72017,1,0.08333333333333337,3.15,5.21,0.6999999999999993,-1.0,4.200000000000003,58.900000000000006,0.7,89.19999999999999,1.0,2.1999999999999993,1.9000000000000004,-0.40000000000000013,11.324999999999996,8.825000000000003,3.974999999999998,5.04999999999999,0.03148111616249083,76.31666666666678,1.6833333333333333,-1.3416666666666686,10.724999999999994,0.4443805372042622,-1.8416666666666668,3.9333333333333087,87.04166666666674,0.8619001378665905,2.43333333333333,1.8416666666666677,-0.17500000000000004
G82017,-2,-0.16666666666666663,5.9399999999999995,4.79,-4.0,-2.400000000000002,-8.199999999999996,-36.79999999999998,-0.19999999999999996,-33.80000000000001,-0.5999999999999996,-2.0,1.6999999999999993,0.0,-2.625,-0.841666666666665,0.7833333333333279,5.1583333333333385,-0.07248451363385233,13.066666666666663,0.02499999999999991,-2.2083333333333357,-29.116666666666646,-0.5426588435885855,-4.741666666666667,2.36666666666666,-15.941666666666833,-0.42578849053399725,-0.4333333333333229,1.0749999999999984,0.2749999999999997
G92017,0,0.0,10.07,3.839999999999999,6.0,8.400000000000002,4.399999999999999,71.5,0.5,5.5,-0.10000000000000053,-1.3000000000000007,0.7999999999999998,-0.19999999999999996,9.325,1.3999999999999986,-1.549999999999999,0.18333333333333002,-0.06671276882179034,12.333333333333314,0.15833333333333321,3.8666666666666742,53.474999999999966,0.7972053429111732,-11.091666666666665,1.5499999999999972,65.69999999999987,0.8379401297426545,2.8083333333333336,-0.5916666666666659,0.43333333333333335
G102017,1,0.08333333333333326,-5.07,-0.14999999999999947,2.3999999999999986,5.199999999999999,-1.8999999999999986,10.599999999999994,0.3999999999999999,35.60000000000002,0.2999999999999998,0.3999999999999986,2.0,-0.5,7.333333333333329,8.91666666666666,4.383333333333329,8.074999999999992,-0.0035831680828852797,69.04166666666669,0.9250000000000003,-1.6750000000000043,36.96666666666668,1.2401621486037437,9.125,9.649999999999999,106.00833333333333,0.8578427583369601,3.1083333333333325,2.216666666666667,0.7416666666666663
